name,merchant_id,avg_processed,GMV_all,avg_active_days,total_lost_n_damaged,avg_returned,avg_24,avg_24_48,avg_48,max_processed_date,order_post_30,is_churn,total_complain,max_created_at,solved_at,delta
LIVINGTEX,660,1639,1273220,23,0,196,839,133,78,2022-04-29,1783,0,7,2022-04-30,2022-05-11,11
Nipun's Gallery,10591,1787,3677696,30,0,27,977,76,16,2022-04-30,1717,0,23,2022-05-21,2022-05-25,4
Mithila's Kitchen,40795,173,316027,22,0,3,67,4,1,2022-04-27,240,0,2,2022-04-07,2022-04-08,1
Best Shopping Zone,28642,199,130100,29,0,17,85,13,6,2022-04-30,293,0,1,2022-04-01,2022-04-02,1
Icon Collection BD,62655,237,188290,17,0,11,76,13,5,2022-04-30,239,0,28,2022-05-20,2022-05-30,10
Shopno Market,5375,3599,2758638,30,0,273,1143,154,102,2022-04-29,1266,0,11,2022-05-20,2022-05-27,7
Casual Apparels,30340,76,44613,21,0,1,60,5,0,2022-04-30,17,0,1,2022-04-18,2022-04-20,2
Kiddylish,7841,300,348837,20,0,4,157,7,1,2022-04-29,418,0,8,2022-04-29,2022-05-09,10
Fashionbd By Monika,10329,86,171011,24,0,7,34,3,3,2022-04-30,57,0,2,2022-04-18,2022-04-20,2
Beyond BD,29314,428,629023,28,0,14,116,10,3,2022-04-30,117,0,11,2022-05-10,2022-05-26,16
Babies Cosmos,8540,10,4336,4,0,0,6,0,0,2022-04-27,7,0,1,2022-03-31,2022-04-01,1
MAJESTICA,32264,202,364154,25,0,1,109,7,2,2022-04-29,120,0,2,2022-04-18,2022-04-20,2
Bagerhat KIOSK (HUB),57537,32,1623,9,0,0,0,1,6,2022-04-27,6,0,1,2022-03-30,2022-04-01,2
Kheya,5379,72,63796,15,0,2,43,4,1,2022-04-29,52,0,1,2022-04-30,2022-05-09,9
Necessity,34213,216,86761,21,0,6,157,23,5,2022-04-28,57,0,2,2022-05-17,2022-05-31,14
Dubai Shop BD,60101,10,8820,5,0,1,5,2,0,2022-04-23,1,0,0,2022-04-26,2022-05-11,15
Gliteric Maven,23107,44,154960,6,0,1,28,5,3,2022-04-30,2,0,1,2022-04-10,2022-04-20,10
Kaleidoscope,650,44,107353,18,0,1,33,6,1,2022-04-28,53,0,1,2022-04-08,2022-04-08,0
Fashion.me,23453,33,33065,13,0,0,11,2,1,2022-04-27,69,0,7,2022-04-30,2022-05-07,7
Roupyarup,15322,114,117700,24,0,1,21,3,0,2022-04-26,73,0,7,2022-04-30,2022-05-04,4
Foreign Product Online BD,1026,168,314273,24,0,9,52,56,32,2022-04-29,116,0,2,2022-04-16,2022-04-19,3
Prity's Closet,5371,115,66738,11,0,2,64,10,3,2022-04-28,40,0,1,2022-04-16,2022-04-20,4
Bong Trendz,15693,11,13670,9,0,0,2,1,0,2022-04-30,14,0,1,2022-04-01,2022-04-02,1
Babar Dokan,7937,25,24175,15,0,1,14,0,1,2022-04-30,22,0,1,2022-04-18,2022-04-20,2
FlipmartBD.com,21490,42,15737,9,0,2,7,1,0,2022-04-27,18,0,1,2022-04-01,2022-04-01,0
Bornolipi,57881,86,56940,11,0,7,14,2,2,2022-04-25,199,0,5,2022-05-17,2022-05-26,9
Bonolota,30001,58,38242,12,0,2,27,1,1,2022-04-27,18,0,1,2022-04-08,2022-04-08,0
Online Closet Bd,792,185,67127,26,0,2,150,17,5,2022-04-30,164,0,4,2022-04-17,2022-04-19,2
Boutique House,32204,30,48993,14,0,1,4,0,0,2022-04-28,16,0,12,2022-04-30,2022-05-04,4
Contrivance International Limited,13119,16,31517,9,0,0,7,1,0,2022-04-27,23,0,1,2022-04-17,2022-04-20,3
Haimanti-Fashion,30650,87,202188,26,0,4,1,0,0,2022-04-30,38,0,3,2022-04-30,2022-05-04,4
Lens Den,56299,74,65972,22,0,0,2,3,0,2022-04-30,33,0,5,2022-04-30,2022-05-11,11
Style State,8432,26,29935,8,0,0,13,3,0,2022-04-28,11,0,2,2022-04-29,2022-05-13,14
Ongonangon,39910,17,7296,8,0,0,10,2,0,2022-04-29,11,0,1,2022-03-28,2022-04-01,4
E-Mart Ltd W,57456,17,22507,9,0,6,4,0,2,2022-04-20,0,1,2,2022-04-16,2022-04-19,3
Prodip,42856,176,227586,19,0,17,30,7,4,2022-04-27,131,0,8,2022-05-21,2022-05-27,6
NUBF GALLERY,32745,60,52678,18,0,1,19,3,0,2022-04-28,80,0,4,2022-05-20,2022-05-24,4
Purrfecto,46524,93,47733,18,0,1,70,5,0,2022-04-29,39,0,1,2022-05-20,2022-05-26,6
Stay Wow by Trishna,6187,43,126597,16,0,0,27,2,0,2022-04-27,8,0,3,2022-04-16,2022-04-19,3
P/R Closet,4451,6,4660,3,0,0,3,1,0,2022-04-24,1,0,1,2022-04-18,2022-04-19,1
Adorisa by Ri Re,42160,4,1828,2,0,1,1,2,0,2022-04-18,0,1,1,2022-04-18,2022-04-19,1
Customized Stickers BD,30084,2,845,1,0,0,1,0,0,2022-04-29,63,0,3,2022-04-18,2022-04-20,2
White Business,57544,10,9987,6,0,2,0,0,1,2022-04-17,0,1,1,2022-04-17,2022-04-20,3
Nefarious BD,2466,13,55087,8,0,0,6,0,0,2022-04-08,0,1,1,2022-04-30,2022-05-12,12
Naina's Collection,58081,11,22185,5,0,1,6,2,1,2022-04-27,1,0,1,2022-04-08,2022-04-08,0
Manja,23408,39,38808,15,0,1,21,3,2,2022-04-29,48,0,2,2022-05-18,2022-05-25,7
Ashik.com,56482,3,1250,2,0,0,2,0,0,2022-04-28,0,1,2,2022-04-28,2022-05-31,33
